pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
80.1,-144.81,0.0,bottom,LED_10-row3-col2,,led_SK6812mini-e,SK6812mini-e,tht,True
105.11,-149.875,-90.0,bottom,LED_11-row2-col3,,led_SK6812mini-e,SK6812mini-e,tht,True
80.1,-164.86,180.0,bottom,LED_12-row2-col2,,led_SK6812mini-e,SK6812mini-e,tht,True
60.05,-164.86,180.0,bottom,LED_13-row2-col1,,led_SK6812mini-e,SK6812mini-e,tht,True
40.0,-164.86,180.0,bottom,LED_14-row2-col0,,led_SK6812mini-e,SK6812mini-e,tht,True
40.0,-184.91,0.0,bottom,LED_15-row1-col0,,led_SK6812mini-e,SK6812mini-e,tht,True
60.05,-184.91,0.0,bottom,LED_16-row1-col1,,led_SK6812mini-e,SK6812mini-e,tht,True
80.1,-184.91,0.0,bottom,LED_17-row1-col2,,led_SK6812mini-e,SK6812mini-e,tht,True
105.11,-189.975,-90.0,bottom,LED_18-row0-col3,,led_SK6812mini-e,SK6812mini-e,tht,True
80.1,-204.96,180.0,bottom,LED_19-row0-col2,,led_SK6812mini-e,SK6812mini-e,tht,True
50.025,-204.96,180.0,bottom,LED_20-row0-col0,,led_SK6812mini-e,SK6812mini-e,tht,True
100.15,-124.76,180.0,bottom,LED_4-row3-col3,,led_SK6812mini-e,SK6812mini-e,tht,True
80.1,-124.76,180.0,bottom,LED_5-row4-col2,,led_SK6812mini-e,SK6812mini-e,tht,True
60.05,-124.76,180.0,bottom,LED_6-row4-col1,,led_SK6812mini-e,SK6812mini-e,tht,True
40.0,-124.76,180.0,bottom,LED_7-row4-col0,,led_SK6812mini-e,SK6812mini-e,tht,True
40.0,-144.81,0.0,bottom,LED_8-row3-col0,,led_SK6812mini-e,SK6812mini-e,tht,True
60.05,-144.81,0.0,bottom,LED_9-row3-col1,,led_SK6812mini-e,SK6812mini-e,tht,True
70.075,-94.8675,0.0,top,LOGO1,,ergogen_logo,,tht,False
85.125,-94.8675,0.0,top,LOGO2,,travis,,tht,False
45.5,-94.8675,90.0,top,MCU1,,Arduino_Pro_Micro,Arduino Pro Micro,tht,True
64.05,-101.25,180.0,top,OLED1,,OLED_headers,OLED,tht,True
54.7875,-105.5,180.0,bottom,R1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,470R,tht,True
70.075,-94.8675,0.0,bottom,ROC1,,travis,,tht,False
100.15,-95.725,-90.0,top,ROT1,,ec11,EC11,tht,True
50.025,-200.62,180.0,top,STAB2u1,,Stabilizer_MX_2.00u,Stabilizer_MX_2.00u,tht,False
100.77,-189.975,-90.0,top,STAB2u2,,Stabilizer_MX_2.00u,Stabilizer_MX_2.00u,tht,False
100.77,-149.875,-90.0,top,STAB2u3,,Stabilizer_MX_2.00u,Stabilizer_MX_2.00u,tht,False
